00-001; Warszawa; Poczta Warszawa 001, ul. Świętokrzyska 31/33
00-001; Warszawa; ul. Świętokrzyska 31/33
00-002; Warszawa; ul. Świętokrzyska od 20 do 22
00-003; Warszawa; ul. Jasna od 9 do 17
00-004; Warszawa; ul. Marszałkowska od 136 do 138
00-005; Warszawa; ul. Rysia od 1 do ostatniego
00-006; Warszawa; ul. Szkolna
00-007; Warszawa; ul. Jasna od 5 do 7
00-008; Warszawa; ul. Marszałkowska od 124 do 134
00-009; Warszawa; Pl. Młynarskiego Emila
00-009; Warszawa; ul. Moniuszki Stanisława od 6 do ostatniego, od 5 do ostatniego
00-010; Warszawa; ul. Sienkiewicza Henryka od 8 do ostatniego
00-011; Warszawa; ul. Boduena Gabriela Piotra
00-012; Warszawa; ul. Zgoda od 10 do ostatniego, od 13 do ostatniego
00-013; Warszawa; ul. Jasna od 2 do 12, od 1 do 3
00-014; Warszawa; ul. Moniuszki Stanisława od 1 do 3
00-015; Warszawa; ul. Sienkiewicza Henryka od 2 do 6, od 1 do ostatniego
00-016; Warszawa; ul. Marszałkowska od 116 do 122
00-017; Warszawa; ul. Marszałkowska od 104 do 114
00-018; Warszawa; ul. Zgoda od 2 do 8, od 1 do 11
00-019; Warszawa; ul. Złota od 2 do 8, od 1 do 11
00-020; Warszawa; ul. Chmielna od 2 do 36
00-020; Warszawa; ul. Szpitalna od 1 do 1
00-021; Warszawa; ul. Chmielna od 1 do 35
00-022; Warszawa; ul. Krucza od 51 do ostatniego
00-023; Warszawa; ul. Widok od 2 do ostatniego, od 1 do 17, od 21 do ostatniego
00-024; Warszawa; ul. Aleje Jerozolimskie od 26 do 54
00-025; Warszawa; ul. Krucza od 50 do ostatniego
00-026; Warszawa; ul. Marszałkowska od 100 do 102
00-026; Warszawa; ul. Widok od 19 do 19
00-027; Warszawa; ul. Pasaż Śródmiejski
00-028; Warszawa; ul. Bracka od 16 do ostatniego, od 15 do ostatniego
00-029; Warszawa; ul. Nowy Świat od 15 do 39
00-030; Warszawa; Pl. Powstańców Warszawy od 2 do ostatniego, od 1 do 5
00-031; Warszawa; ul. Szpitalna od 2 do ostatniego, od 3 do ostatniego
00-032; Warszawa; ul. Przeskok
00-033; Warszawa; ul. Górskiego Wojciecha
00-034; Warszawa; ul. Warecka od 1 do ostatniego
00-035; Warszawa; ul. Tuwima Juliana
00-036; Warszawa; ul. Baczyńskiego Krzysztofa Kamila
00-037; Warszawa; ul. Kubusia Puchatka
00-038; Warszawa; ul. Moniuszki Stanisława od 2 do 4
00-039; Warszawa; Pl. Powstańców Warszawy od 7 do ostatniego
00-040; Warszawa; ul. Warecka od 2 do ostatniego
00-041; Warszawa; ul. Jasna od 14 do 16
00-042; Warszawa; ul. Nowy Świat od 41 do 63
00-043; Warszawa; ul. Czackiego Tadeusza
00-044; Warszawa; ul. Świętokrzyska od 10 do 12
00-046; Warszawa; ul. Nowy Świat od 65 do ostatniego
00-047; Warszawa; ul. Krakowskie Przedmieście od 1 do 3
00-048; Warszawa; ul. Mazowiecka od 2 do ostatniego
00-049; Warszawa; ul. Świętokrzyska od 5 do 37
00-050; Warszawa; ul. Świętokrzyska od 14 do 16
00-051; Warszawa; ul. Dowcip
00-052; Warszawa; ul. Mazowiecka od 1 do ostatniego
00-052; Warszawa; ul. Świętokrzyska od 18 do 18
00-054; Warszawa; ul. Jasna od 18 do ostatniego
00-055; Warszawa; Pl. Dąbrowskiego Jana Henryka od 2 do ostatniego
00-056; Warszawa; ul. Kredytowa od 1 do ostatniego
00-057; Warszawa; Pl. Dąbrowskiego Jana Henryka od 1 do ostatniego
00-058; Warszawa; ul. Jasna od 19 do ostatniego
00-059; Warszawa; ul. Rysia od 2 do ostatniego
00-060; Warszawa; ul. Królewska od 25 do 29
00-061; Warszawa; ul. Marszałkowska od 140 do ostatniego
00-062; Warszawa; ul. Kredytowa od 2 do ostatniego
00-062; Warszawa; ul. Księdza Biskupa Burschego Juliusza
00-063; Warszawa; Pl. Małachowskiego Stanisława od 1 do ostatniego
00-064; Warszawa; ul. Królewska od 15 do 23
00-065; Warszawa; ul. Królewska od 2 do 14, od 1 do 13
00-066; Warszawa; Pl. Małachowskiego Stanisława od 2 do ostatniego
00-067; Warszawa; ul. Pasaż Niżyńskiego
00-067; Warszawa; ul. Traugutta Romualda
00-068; Warszawa; ul. Generała Tokarzewskiego Karaszewicza Michała
00-068; Warszawa; ul. Krakowskie Przedmieście od 5 do 11
00-070; Warszawa; ul. Kozia
00-071; Warszawa; ul. Krakowskie Przedmieście od 13 do 77
00-072; Warszawa; ul. Ossolińskich
00-073; Warszawa; Pl. Marszałka Piłsudskiego Józefa od 2 do ostatniego
00-074; Warszawa; ul. Trębacka
00-075; Warszawa; ul. Senatorska od 2 do 4, od 1 do 21
00-076; Warszawa; ul. Moliera Jana Baptysty
00-077; Warszawa; Pl. Teatralny
00-078; Warszawa; Pl. Marszałka Piłsudskiego Józefa od 1 do ostatniego
00-079; Warszawa; ul. Krakowskie Przedmieście od 79 do ostatniego
00-080; Warszawa; ul. Miodowa od 2 do 4, od 1 do 3
00-081; Warszawa; Poczta Warszawa 005, ul. Miodowa 1
00-081; Warszawa; Skrytki Pocztowe Poczta Warszawa 005, ul. Miodowa 1
00-082; Warszawa; ul. Senatorska od 6 do 18
00-083; Warszawa; ul. Nowy Przejazd
00-084; Warszawa; ul. Daniłowiczowska od 1 do ostatniego
00-085; Warszawa; ul. Bielańska od 2 do ostatniego
00-086; Warszawa; ul. Bielańska od 1 do ostatniego
00-087; Warszawa; ul. Corazziego Antoniego
00-088; Warszawa; ul. Tłomackie
00-089; Warszawa; ul. Gamerskiego Tylmana
00-090; Warszawa; Al. Solidarności od 71 do 79
00-091; Warszawa; Pl. Bankowy od 6 do ostatniego
00-092; Warszawa; ul. Hipoteczna od 2 do 4, od 1 do ostatniego
00-093; Warszawa; ul. Daniłowiczowska od 2 do ostatniego
00-094; Warszawa; ul. Wierzbowa
00-095; Warszawa; Pl. Bankowy od 2 do 4
00-095; Warszawa; ul. Senatorska od 20 do ostatniego
00-096; Warszawa; Poczta Warszawa 084, ul. Senatorska 40
00-097; Warszawa; ul. Fredry Aleksandra
00-098; Warszawa; ul. Niecała
00-099; Warszawa; ul. Canaletta
00-099; Warszawa; ul. Senatorska od 23 do ostatniego
00-100; Warszawa; ul. Przechodnia
00-102; Warszawa; ul. Marszałkowska od 111 do ostatniego
00-103; Warszawa; ul. Królewska od 16 do ostatniego, od 31 do ostatniego
00-104; Warszawa; Pl. Grzybowski od 10 do ostatniego
00-105; Warszawa; ul. Twarda od 2 do 24
00-107; Warszawa; ul. Próżna
00-108; Warszawa; ul. Zielna
00-109; Warszawa; Pl. Grzybowski od 2 do 8
00-110; Warszawa; Pl. Defilad
00-110; Warszawa; ul. Marszałkowska od 101 do 109
00-111; Warszawa; Poczta Warszawa 120, Al. Jerozolimskie 54
00-112; Warszawa; ul. Bagno
00-113; Warszawa; ul. Plater Emilii od 36 do ostatniego, od 53 do ostatniego
00-114; Warszawa; ul. Twarda od 1 do 15
00-115; Warszawa; Pl. Grzybowski od 1 do ostatniego
00-116; Warszawa; Al. Jana Pawła II od 18 do 18
00-116; Warszawa; ul. Świętokrzyska od 24 do ostatniego, od 39 do ostatniego
00-117; Warszawa; Al. Jana Pawła II od 2 do 10
00-117; Warszawa; ul. Chmielna od 38 do 88, od 37 do 67
00-118; Warszawa; ul. Plater Emilii od 34 do 34, od 37 do 47
